2025/10/23 00:06:41 Warning: Not enough data to match format specification: [Name;Rechtswert;Hochwert;Höhe;Feature code ID;Lokales Datum;Ortszeit]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.01;55587.923;266060.617;803.858;9;2025-10-20;15:00:25]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.02;55587.925;266060.611;803.875;9;2025-10-20;15:00:41]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.03;55587.924;266060.620;803.880;9;2025-10-20;15:00:52]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.04;55587.927;266060.610;803.887;9;2025-10-20;15:01:02]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.05;55587.926;266060.616;803.868;9;2025-10-20;15:01:13]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.06;55587.926;266060.608;803.880;9;2025-10-20;15:01:33]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.07;55587.922;266060.606;803.881;9;2025-10-20;15:01:43]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.08;55587.931;266060.609;803.882;9;2025-10-20;15:01:53]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.09;55587.931;266060.606;803.886;9;2025-10-20;15:02:02]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.01;55570.900;266065.734;806.340;1;2025-10-20;15:02:39]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.02;55570.903;266065.736;806.339;1;2025-10-20;15:02:50]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.03;55570.900;266065.731;806.339;1;2025-10-20;15:03:01]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.04;55570.899;266065.734;806.337;1;2025-10-20;15:03:11]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.05;55570.901;266065.732;806.339;1;2025-10-20;15:03:30]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.06;55570.900;266065.732;806.337;1;2025-10-20;15:03:40]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.07;55570.903;266065.732;806.337;1;2025-10-20;15:03:50]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [3.08;55570.904;266065.731;806.342;1;2025-10-20;15:04:00]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.11;55586.146;266045.200;803.476;9;2025-10-20;16:48:26]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.12;55586.145;266045.201;803.481;9;2025-10-20;16:48:36]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.13;55586.147;266045.202;803.486;9;2025-10-20;16:48:46]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.14;55586.145;266045.199;803.484;9;2025-10-20;16:48:57]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.15;55586.145;266045.197;803.491;9;2025-10-20;16:49:22]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.16;55586.144;266045.198;803.489;9;2025-10-20;16:49:33]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.17;55586.143;266045.199;803.485;9;2025-10-20;16:49:48]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [1.18;55586.140;266045.199;803.479;9;2025-10-20;16:50:02]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.11;55587.928;266060.634;803.872;9;2025-10-20;16:51:24]
2025/10/23 00:19:32 Warning: Not enough data to match format specification: [2.12;55587.928;266060.634;803.890;9;2025-10-20;16:52:15]
